"group","mt_matchLen","sampleID"
"WGS_043_E20_F02.2","(50,100]",7,"WGS_043_E20_F02"
"WGS_043_E20_F02.3","(100,150]",3,"WGS_043_E20_F02"
"WGS_043_E20_F02.4","(150,200]",1,"WGS_043_E20_F02"
"WGS_043_E20_F02.5","(200,250]",1,"WGS_043_E20_F02"
"WGS_043_E20_F02.6","(700,750]",1,"WGS_043_E20_F02"
"WGS_047_E20_F02.1","(0,50]",2,"WGS_047_E20_F02"
"WGS_047_E20_F02.2","(50,100]",1,"WGS_047_E20_F02"
"WGS_047_E20_F02.3","(150,200]",2,"WGS_047_E20_F02"
"WGS_047_E20_F02.4","(200,250]",2,"WGS_047_E20_F02"
"WGS_047_E20_F02.5","(300,350]",1,"WGS_047_E20_F02"
"WGS_047_E20_F02.6","(700,750]",1,"WGS_047_E20_F02"
"WGS_050_E20_F02.1","(0,50]",6,"WGS_050_E20_F02"
"WGS_050_E20_F02.2","(50,100]",5,"WGS_050_E20_F02"
"WGS_050_E20_F02.3","(100,150]",4,"WGS_050_E20_F02"
"WGS_050_E20_F02.4","(150,200]",2,"WGS_050_E20_F02"
"WGS_050_E20_F02.5","(200,250]",2,"WGS_050_E20_F02"
"WGS_050_E20_F02.6","(250,300]",2,"WGS_050_E20_F02"
"WGS_050_E20_F02.7","(300,350]",1,"WGS_050_E20_F02"
"WGS_050_E20_F02.8","(350,400]",2,"WGS_050_E20_F02"
"WGS_050_E20_F02.9","(450,500]",3,"WGS_050_E20_F02"
"WGS_050_E20_F02.10","(550,600]",1,"WGS_050_E20_F02"
"WGS_050_E20_F02.11","(600,650]",1,"WGS_050_E20_F02"
"WGS_050_E20_F02.12","(650,700]",1,"WGS_050_E20_F02"
"WGS_050_E20_F02.13","(700,750]",1,"WGS_050_E20_F02"
"WGS_050_E20_F02.14","(750,800]",1,"WGS_050_E20_F02"
"WGS_050_E20_F02.15","(800,850]",2,"WGS_050_E20_F02"
"WGS_050_E20_F02.16","(1150,1200]",1,"WGS_050_E20_F02"
"WGS_050_E20_F02.17","(1250,1300]",1,"WGS_050_E20_F02"
"WGS_050_E20_F02.18","(1400,1450]",1,"WGS_050_E20_F02"
"WGS_050_E20_F03.1","(0,50]",7,"WGS_050_E20_F03"
"WGS_050_E20_F03.2","(50,100]",3,"WGS_050_E20_F03"
"WGS_050_E20_F03.3","(100,150]",4,"WGS_050_E20_F03"
"WGS_050_E20_F03.4","(150,200]",4,"WGS_050_E20_F03"
"WGS_050_E20_F03.5","(200,250]",6,"WGS_050_E20_F03"
"WGS_050_E20_F03.6","(250,300]",1,"WGS_050_E20_F03"
"WGS_050_E20_F03.7","(400,450]",1,"WGS_050_E20_F03"
"WGS_050_E20_F03.8","(450,500]",4,"WGS_050_E20_F03"
"WGS_050_E20_F03.9","(550,600]",2,"WGS_050_E20_F03"
"WGS_050_E20_F03.10","(650,700]",1,"WGS_050_E20_F03"
"WGS_050_E20_F03.11","(700,750]",2,"WGS_050_E20_F03"
"WGS_050_E20_F03.12","(950,1000]",1,"WGS_050_E20_F03"
"WGS_050_E20_F03.13","(1000,1050]",1,"WGS_050_E20_F03"
"WGS_050_E20_F03.14","(1050,1100]",1,"WGS_050_E20_F03"
"WGS_050_E20_F03.15","(1150,1200]",2,"WGS_050_E20_F03"
"WGS_050_E20_F03.16","(1350,1400]",1,"WGS_050_E20_F03"
"WGS_050_E20_F03.17","(1400,1450]",1,"WGS_050_E20_F03"
"WGS_050_E20_F03.18","(1450,1500]",1,"WGS_050_E20_F03"
"WGS_050_E20_F03.19","(1700,1750]",1,"WGS_050_E20_F03"
"WGS_050_E20_F03.20","(1850,1900]",1,"WGS_050_E20_F03"
"WGS_050_E20_F03.21","(2150,2200]",1,"WGS_050_E20_F03"
"WGS_060_E20_F06.1","(0,50]",8,"WGS_060_E20_F06"
"WGS_060_E20_F06.2","(50,100]",1,"WGS_060_E20_F06"
"WGS_060_E20_F06.3","(100,150]",5,"WGS_060_E20_F06"
"WGS_060_E20_F06.4","(150,200]",5,"WGS_060_E20_F06"
"WGS_060_E20_F06.5","(200,250]",3,"WGS_060_E20_F06"
"WGS_060_E20_F06.6","(250,300]",2,"WGS_060_E20_F06"
"WGS_060_E20_F06.7","(350,400]",2,"WGS_060_E20_F06"
"WGS_060_E20_F06.8","(450,500]",1,"WGS_060_E20_F06"
"WGS_060_E20_F06.9","(550,600]",2,"WGS_060_E20_F06"
"WGS_060_E20_F06.10","(700,750]",1,"WGS_060_E20_F06"
"WGS_060_E20_F06.11","(800,850]",1,"WGS_060_E20_F06"
"WGS_060_E20_F06.12","(900,950]",1,"WGS_060_E20_F06"
"WGS_060_E20_F06.13","(1000,1050]",1,"WGS_060_E20_F06"
"WGS_060_E20_F06.14","(1150,1200]",1,"WGS_060_E20_F06"
"WGS_060_E20_F06.15","(1250,1300]",1,"WGS_060_E20_F06"
"WGS_060_E20_F06.16","(1300,1350]",1,"WGS_060_E20_F06"
"WGS_060_E20_F06.17","(1500,1550]",1,"WGS_060_E20_F06"
"WGS_060_E20_F06.18","(1900,1950]",1,"WGS_060_E20_F06"
"WGS_060_E20_F06.19","(2100,2150]",1,"WGS_060_E20_F06"
"WGS_060_E20_F06.20","(3550,3600]",1,"WGS_060_E20_F06"
"WGS_063_E20_F02.1","(0,50]",2,"WGS_063_E20_F02"
"WGS_063_E20_F02.2","(50,100]",3,"WGS_063_E20_F02"
"WGS_063_E20_F02.3","(100,150]",1,"WGS_063_E20_F02"
"WGS_063_E20_F02.4","(200,250]",1,"WGS_063_E20_F02"
"WGS_063_E20_F02.5","(250,300]",1,"WGS_063_E20_F02"
"WGS_063_E20_F02.6","(450,500]",1,"WGS_063_E20_F02"
"WGS_063_E20_F02.7","(700,750]",1,"WGS_063_E20_F02"
"WGS_080_E20_F02.1","(0,50]",5,"WGS_080_E20_F02"
"WGS_080_E20_F02.2","(50,100]",3,"WGS_080_E20_F02"
"WGS_080_E20_F02.3","(150,200]",2,"WGS_080_E20_F02"
"WGS_080_E20_F02.4","(550,600]",1,"WGS_080_E20_F02"
"WGS_084_E20_F02.1","(0,50]",5,"WGS_084_E20_F02"
"WGS_084_E20_F02.2","(50,100]",3,"WGS_084_E20_F02"
"WGS_084_E20_F02.3","(150,200]",2,"WGS_084_E20_F02"
"WGS_084_E20_F02.4","(250,300]",1,"WGS_084_E20_F02"
"WGS_084_E20_F02.5","(350,400]",1,"WGS_084_E20_F02"
"WGS_084_E20_F02.6","(500,550]",1,"WGS_084_E20_F02"
"WGS_088_E20_F05.1","(0,50]",1,"WGS_088_E20_F05"
"WGS_088_E20_F05.2","(50,100]",2,"WGS_088_E20_F05"
"WGS_088_E20_F05.3","(100,150]",1,"WGS_088_E20_F05"
"WGS_088_E20_F05.4","(150,200]",4,"WGS_088_E20_F05"
"WGS_088_E20_F05.5","(200,250]",2,"WGS_088_E20_F05"
"WGS_088_E20_F05.6","(250,300]",2,"WGS_088_E20_F05"
"WGS_088_E20_F05.7","(300,350]",1,"WGS_088_E20_F05"
"WGS_088_E20_F06.1","(0,50]",10,"WGS_088_E20_F06"
"WGS_088_E20_F06.2","(50,100]",1,"WGS_088_E20_F06"
"WGS_088_E20_F06.3","(100,150]",3,"WGS_088_E20_F06"
"WGS_088_E20_F06.4","(150,200]",4,"WGS_088_E20_F06"
"WGS_088_E20_F06.5","(200,250]",1,"WGS_088_E20_F06"
"WGS_088_E20_F06.6","(250,300]",1,"WGS_088_E20_F06"
"WGS_088_E20_F06.7","(600,650]",1,"WGS_088_E20_F06"
"WGS_095_E20_F11.1","(0,50]",5,"WGS_095_E20_F11"
"WGS_095_E20_F11.2","(50,100]",1,"WGS_095_E20_F11"
"WGS_095_E20_F11.3","(250,300]",1,"WGS_095_E20_F11"
"WGS_095_E20_F11.4","(350,400]",1,"WGS_095_E20_F11"
"WGS_115_E20_F03.1","(0,50]",4,"WGS_115_E20_F03"
"WGS_115_E20_F03.2","(50,100]",2,"WGS_115_E20_F03"
"WGS_115_E20_F03.3","(100,150]",2,"WGS_115_E20_F03"
"WGS_115_E20_F03.4","(150,200]",2,"WGS_115_E20_F03"
"WGS_115_E20_F03.5","(300,350]",1,"WGS_115_E20_F03"
"WGS_115_E20_F03.6","(400,450]",1,"WGS_115_E20_F03"
"WGS_115_E20_F03.7","(650,700]",1,"WGS_115_E20_F03"
"WGS_132_E20_F10.1","(0,50]",4,"WGS_132_E20_F10"
"WGS_132_E20_F10.2","(50,100]",6,"WGS_132_E20_F10"
"WGS_132_E20_F10.3","(100,150]",4,"WGS_132_E20_F10"
"WGS_132_E20_F10.4","(150,200]",3,"WGS_132_E20_F10"
"WGS_132_E20_F10.5","(300,350]",1,"WGS_132_E20_F10"
"WGS_132_E20_F10.6","(450,500]",1,"WGS_132_E20_F10"
"WGS_134_E20_F02.1","(0,50]",10,"WGS_134_E20_F02"
"WGS_134_E20_F02.2","(50,100]",6,"WGS_134_E20_F02"
"WGS_134_E20_F02.3","(100,150]",2,"WGS_134_E20_F02"
"WGS_134_E20_F02.4","(150,200]",5,"WGS_134_E20_F02"
"WGS_134_E20_F02.5","(200,250]",3,"WGS_134_E20_F02"
"WGS_134_E20_F02.6","(250,300]",2,"WGS_134_E20_F02"
"WGS_134_E20_F02.7","(400,450]",1,"WGS_134_E20_F02"
"WGS_134_E20_F02.8","(450,500]",1,"WGS_134_E20_F02"
"WGS_211_E20_F02.1","(0,50]",5,"WGS_211_E20_F02"
"WGS_211_E20_F02.2","(50,100]",7,"WGS_211_E20_F02"
"WGS_211_E20_F02.3","(100,150]",2,"WGS_211_E20_F02"
"WGS_211_E20_F02.4","(150,200]",1,"WGS_211_E20_F02"
"WGS_211_E20_F02.5","(200,250]",3,"WGS_211_E20_F02"
"WGS_211_E20_F02.6","(250,300]",1,"WGS_211_E20_F02"
"WGS_211_E20_F02.7","(300,350]",1,"WGS_211_E20_F02"
"WGS_211_E20_F02.8","(350,400]",1,"WGS_211_E20_F02"
